street,crashes
Lootsi tn,9
Mäepealse tn,9
Madala tn,9
Vesivärava tn,9
Lootuse pst,9
Tõnismägi,9
Tuulemaa tn,9
Vana-Rannamõisa tee,9
Kivimurru tn,9
Odra tn,9
Uus-Sadama tn,9
Pikk tn,8
Randla tn,8
A. Lauteri tn,8
Lükati tee,8
Muuga tee,8
Rohu tn,8
Jaama tn,8
Sihi tn,8
Maleva tn,8
Tornimäe tn,8
Laki tn,8
Wismari tn,8
Vormsi tn,8
Purde tn,8
Vana-Kuuli tn,8
Katleri tn,8
Madara tn,7
Salme tn,7
Kaubamaja tn,7
Virbi tn,7
Lembitu tn,7
P. Pinna tn,7
Vääna tn,7
Suurtüki tn,7
Arbu tn,7
Vabaõhukooli tee,7
Heina tn,7
Hiiu tn,7
Suur-Patarei tn,7
Kotzebue tn,6
Vana-Lõuna tn,6
Viimsi tee,6
Põllu tn,6
Marja tn,6
Virmalise tn,6
Volta tn,6
Õie tn,6
Kalevipoja põik,6
Tuuliku tee,6
TALLINNA  RINGTEE,6
Ehte tn,6
Taevakivi tn,6
Mulla tn,6
Haabersti tn,6
Pikaliiva tn,6
Lennujaama tee,6
Muhu tn,6
Kiikri tn,6
Masina tn,6
Paavli tn,5
Keemia tn,5
Härjapea tn,5
Tondiraba tn,5
Bensiini tn,5
Vana-Kalamaja tn,5
Filmi tn,5
Ranniku tee,5
Komandandi tee,5
Lõõtsa tn,5
F. R. Faehlmanni tn,5
Lai tn,5
Kiili tn,5
K. Türnpu tn,5
Tähe tn,5
Nunne tn,5
Kivisilla tn,5
L. Koidula tn,5
Ädala tn,5
V. Reimani tn,5
Võru tn,5
Veskiposti tn,5
Karjavälja tn,5
Viadukti tn,5
Vasara tn,5
Martsa tn,5
Tedre tn,5
Järve tn,5
Õle tn,5
Veskimetsa tn,4
Mõisa tn,4
Kauba tn,4
Suur Rannavärav,4
TALLINN - PALDISKI,4
Rotermanni tn,4
Ravi tn,4
Siili tn,4
Loitsu tn,4
Regati pst,4
Asula tn,4
Inseneri tn,4
Pikksilma tn,4
Kaera tn,4
Luha tn,4
Graniidi tn,4
TALLINN - RAPLA - TÜRI,4
Valukoja tn,4
Asunduse tn,4
Tihase tn,4
Purje tn,4
Maakri tn,4
Kõrgepinge tn,4
Pikri tn,4
G. Otsa tn,4
Paasiku tn,4
Nisu tn,4
Jalgpalli tn,4
Supluse pst,4
Pöörise tn,4
Kotermaa tn,4
Turba tn,4
Merirahu tn,4
Merimetsa tee,4
Keldrimäe tn,4
Vabriku tn,4
Sepa tn,3
Üliõpilaste tee,3
Videviku tn,3
Käo tn,3
Lagedi tee,3
Kuklase tn,3
Kuuli tn,3
Aru tn,3
Metsavahi tee,3
Saku tn,3
Niine tn,3
Kalda tn,3
Maneeži tn,3
Uus-Maleva tn,3
Mustjõe tn,3
Toompea tn,3
Mooni tn,3
